unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;01/10/2023 12:48;01/10/2023 15:35;02/10/2023 08:37;02/10/2023 10:49;03/10/2023 10:06;03/10/2023 14:39;04/10/2023 14:31;05/10/2023 10:33;05/10/2023 15:04;06/10/2023 10:09;06/10/2023 15:28;07/10/2023 07:56;07/10/2023 09:45;08/10/2023 09:21;08/10/2023 11:44;09/10/2023 10:02;09/10/2023 15:13;10/10/2023 09:56
31:02:02;31:02:02;Exp60;WW_R2;Sorghum;Exp60_318_SSM276;Exp60_318_SSM276;2;Exp60_318_SSM276_WW_R2;;47539;94091.6;99284.8;57577.8;103667;69426.9;91102.6;43477.1;85557.9;92505.9;52288.6;63007.8;99550.5;59112.7;105535;92177.8;81171.3;82910.2
31:03:01;31:03:01;Exp60;WW_R2;Sorghum;Exp60_47_IS4963;Exp60_47_IS4963;2;Exp60_47_IS4963_WW_R2;;38002.1;57372.2;64533.5;47518.3;76176.1;91781.1;77436.2;65522.2;88745.7;104605;73847.1;99589.7;80137.3;10992.7;90974.7;96499;135770;93513.3
31:03:02;31:03:02;Exp60;WW_R2;Sorghum;Exp60_311_SSM1370;Exp60_311_SSM1370;2;Exp60_311_SSM1370_WW_R2;;50459.5;84909.1;95885.5;53324.5;66321.9;66073.6;66335.8;48127.4;66069.2;89350.2;63752.4;17840.7;26990.7;73974.5;106298;120650;104944;110529
31:04:01;31:04:01;Exp60;WW_R2;Sorghum;Exp60_89_IS11119;Exp60_89_IS11119;2;Exp60_89_IS11119_WW_R2;;39911.2;43590.8;49044;53615.6;93355.5;50761.9;59064.4;40666.3;89456.1;73906.4;78881.8;81881.5;66896.8;33780.1;95901;110146;94427.2;82304.3
31:04:02;31:04:02;Exp60;WW_R2;Sorghum;Exp60_194_IS22334;Exp60_194_IS22334;2;Exp60_194_IS22334_WW_R2;;28618.8;49922;55535.6;36241.2;72506;52417.5;68807.6;97516.5;93385.5;108338;102463;81469.7;114034;81475;135604;83918.8;107491;97704.1
31:05:01;31:05:01;Exp60;WW_R2;Sorghum;Exp60_98_IS13791;Exp60_98_IS13791;2;Exp60_98_IS13791_WW_R2;;27649.9;45658.8;53137.7;36395.9;72912.5;73554.7;70876.5;71250.9;27022.6;84014.4;108390;64179.4;61445.6;1931.71;99117.7;98148.1;101654;140708
31:05:02;31:05:02;Exp60;WW_R2;Sorghum;Exp60_208_IS23574;Exp60_208_IS23574;2;Exp60_208_IS23574_WW_R2;;76672.4;77940.7;80819.6;78875.1;84797;64287.7;93429.9;71058.2;43490.3;132007;72322.8;93306.3;132424;37367.5;112626;97964.1;134822;111732
31:06:01;31:06:01;Exp60;WW_R2;Sorghum;Exp60_142_IS18919;Exp60_142_IS18919;2;Exp60_142_IS18919_WW_R2;;41687.1;79089.5;83697.3;58512.9;82813.4;13654;52734.2;83794.7;0;89438.6;107461;79533.9;102711;1.152;10233.6;86256.2;104017;109078
31:06:02;31:06:02;Exp60;WW_R2;Sorghum;Exp60_38_IS3957;Exp60_38_IS3957;2;Exp60_38_IS3957_WW_R2;;45215.2;45714.2;42824.5;59256.2;57777.6;70026.5;108206;93322.8;5.403;107152;63971.3;103044;92827.2;211.877;111675;66940.6;119146;92965.9
31:07:01;31:07:01;Exp60;WW_R2;Sorghum;Exp60_94_IS12531;Exp60_94_IS12531;2;Exp60_94_IS12531_WW_R2;;32425.3;80562;87062.6;35687.4;61650;21377.3;49773.9;85464.8;0;119327;99122.6;95950.3;109511;19858;113022;87704.4;113703;131864
31:07:02;31:07:02;Exp60;WW_R2;Sorghum;Exp60_36_IS3885;Exp60_36_IS3885;2;Exp60_36_IS3885_WW_R2;;69947.5;52118.2;60980.4;71971.1;1225.25;44939.3;89153.5;87544.5;15.582;106487;102535;20229.6;91248;165.736;93469.2;4920.4;96422.5;94770.4
