"","unit","old_unit","Experiment","Treatment","Species","Genotype","G..Alias","Replicates"
"82","134:02:01","134:02:01","Exp60","WW_R1","Sorghum","Exp60_280_IS31195","Exp60_280_IS31195",1
"83","134:02:02","134:02:02","Exp60","WW_R1","Sorghum","Exp60_174_IS20792","Exp60_174_IS20792",1
"84","134:03:01","134:03:01","Exp60","WW_R1","Sorghum","Exp60_250_IS29233","Exp60_250_IS29233",1
"85","134:03:02","134:03:02","Exp60","WW_R1","Sorghum","Exp60_221_IS24503","Exp60_221_IS24503",1
"86","134:04:01","134:04:01","Exp60","WW_R1","Sorghum","Exp60_19_IS2787","Exp60_19_IS2787",1
"87","134:04:02","134:04:02","Exp60","WW_R1","Sorghum","Exp60_193_IS22330","Exp60_193_IS22330",1
"88","134:05:01","134:05:01","Exp60","WW_R2","Sorghum","Exp60_264_IS29911","Exp60_264_IS29911",2
"89","134:05:02","134:05:02","Exp60","WW_R2","Sorghum","Exp60_137_IS18835","Exp60_137_IS18835",2
"90","134:06:01","134:06:01","Exp60","WW_R2","Sorghum","Exp60_55_IS6193","Exp60_55_IS6193",2
"91","134:06:02","134:06:02","Exp60","WW_R2","Sorghum","Exp60_19_IS2787","Exp60_19_IS2787",2
"92","134:07:01","134:07:01","Exp60","WW_R2","Sorghum","Exp60_87_IS10978","Exp60_87_IS10978",2
"93","134:07:02","134:07:02","Exp60","WW_R2","Sorghum","Exp60_304_SSM1046","Exp60_304_SSM1046",2
"94","134:08:01","134:08:01","Exp60","WW_R2","Sorghum","Exp60_122_IS15466","Exp60_122_IS15466",2
"95","134:08:02","134:08:02","Exp60","WW_R2","Sorghum","Exp60_198_IS22909","Exp60_198_IS22909",2
"96","134:09:01","134:09:01","Exp60","WW_R2","Sorghum","Exp60_284_IS31559","Exp60_284_IS31559",2
"97","134:09:02","134:09:02","Exp60","WW_R2","Sorghum","Exp60_30_IS3507","Exp60_30_IS3507",2
"98","135:10:01","135:10:01","Exp60","WW_R2","Sorghum","Exp60_266_IS30175","Exp60_266_IS30175",2
"99","135:10:02","135:10:02","Exp60","WW_R2","Sorghum","Exp60_70_IS8882","Exp60_70_IS8882",2
"100","135:11:01","135:11:01","Exp60","WW_R2","Sorghum","Exp60_83_IS10876","Exp60_83_IS10876",2
"101","135:11:02","135:11:02","Exp60","WW_R2","Sorghum","Exp60_177_IS21126","Exp60_177_IS21126",2
"102","135:12:01","135:12:01","Exp60","WW_R2","Sorghum","Exp60_53_IS5972","Exp60_53_IS5972",2
"103","135:12:02","135:12:02","Exp60","WW_R2","Sorghum","Exp60_143_IS18922","Exp60_143_IS18922",2
"104","135:01:01","135:01:01","Exp60","WW_R2","Sorghum","Exp60_223_IS24786","Exp60_223_IS24786",2
"105","135:01:02","135:01:02","Exp60","WW_R2","Sorghum","Exp60_320_SSM379","Exp60_320_SSM379",2
"106","135:02:01","135:02:01","Exp60","WW_R2","Sorghum","Exp60_22_IS2834","Exp60_22_IS2834",2
"107","135:02:02","135:02:02","Exp60","WW_R2","Sorghum","Exp60_174_IS20792","Exp60_174_IS20792",2
"108","135:03:01","135:03:01","Exp60","WW_R2","Sorghum","Exp60_258_IS29606","Exp60_258_IS29606",2
"109","135:03:02","135:03:02","Exp60","WW_R2","Sorghum","Exp60_125_IS15752","Exp60_125_IS15752",2
"110","135:04:01","135:04:01","Exp60","WW_R2","Sorghum","Exp60_6_IS1127","Exp60_6_IS1127",2
"111","135:04:02","135:04:02","Exp60","WW_R2","Sorghum","Exp60_197_IS22632","Exp60_197_IS22632",2
"112","135:05:01","135:05:01","Exp60","WW_R2","Sorghum","Exp60_118_R16","Exp60_118_R16",2
"113","135:05:02","135:05:02","Exp60","WW_R2","Sorghum","Exp60_34_IS3675","Exp60_34_IS3675",2
"114","135:06:01","135:06:01","Exp60","WW_R2","Sorghum","Exp60_65_IS8218","Exp60_65_IS8218",2
"115","135:06:02","135:06:02","Exp60","WW_R2","Sorghum","Exp60_58_IS6718","Exp60_58_IS6718",2
"116","135:07:01","135:07:01","Exp60","WW_R2","Sorghum","Exp60_103_IS14206","Exp60_103_IS14206",2
"117","135:07:02","135:07:02","Exp60","WW_R2","Sorghum","Exp60_85_IS10897","Exp60_85_IS10897",2
"118","135:08:01","135:08:01","Exp60","WW_R2","Sorghum","Exp60_296_IS33178","Exp60_296_IS33178",2
"119","135:08:02","135:08:02","Exp60","WW_R2","Sorghum","Exp60_250_IS29233","Exp60_250_IS29233",2
"120","135:09:01","135:09:01","Exp60","WW_R2","Sorghum","Exp60_210_IS23645","Exp60_210_IS23645",2
"121","135:09:02","135:09:02","Exp60","WW_R2","Sorghum","Exp60_72_IS9303","Exp60_72_IS9303",2
"122","136:10:01","136:10:01","Exp60","WW_R2","Sorghum","Exp60_199_IS22986","Exp60_199_IS22986",2
"123","136:10:02","136:10:02","Exp60","WW_R2","Sorghum","Exp60_204_IS23142","Exp60_204_IS23142",2
"124","136:11:01","136:11:01","Exp60","WW_R2","Sorghum","Exp60_297_IS33209","Exp60_297_IS33209",2
"125","136:11:02","136:11:02","Exp60","WW_R2","Sorghum","Exp60_27_IS3121","Exp60_27_IS3121",2
"126","136:12:01","136:12:01","Exp60","WW_R2","Sorghum","Exp60_205_IS23166","Exp60_205_IS23166",2
"127","136:12:02","136:12:02","Exp60","WW_R2","Sorghum","Exp60_265_IS29966","Exp60_265_IS29966",2
"128","136:01:01","136:01:01","Exp60","WW_R2","Sorghum","Exp60_4_IS602","Exp60_4_IS602",2
"129","136:01:02","136:01:02","Exp60","WW_R2","Sorghum","Exp60_288_IS32050","Exp60_288_IS32050",2
"130","136:02:01","136:02:01","Exp60","WW_R2","Sorghum","Exp60_240_IS27146","Exp60_240_IS27146",2
"131","136:02:02","136:02:02","Exp60","WW_R2","Sorghum","Exp60_165_IS20710","Exp60_165_IS20710",2
"132","136:03:01","136:03:01","Exp60","WW_R2","Sorghum","Exp60_138_IS18868","Exp60_138_IS18868",2
"133","136:03:02","136:03:02","Exp60","WW_R2","Sorghum","Exp60_202_IS23053","Exp60_202_IS23053",2
"134","136:04:01","136:04:01","Exp60","WW_R2","Sorghum","Exp60_248_IS28389","Exp60_248_IS28389",2
"135","136:04:02","136:04:02","Exp60","WW_R2","Sorghum","Exp60_171_IS20762","Exp60_171_IS20762",2
"136","136:05:01","136:05:01","Exp60","WW_R2","Sorghum","Exp60_67_IS8347","Exp60_67_IS8347",2
"137","136:05:02","136:05:02","Exp60","WW_R2","Sorghum","Exp60_286_IS31693","Exp60_286_IS31693",2
