"";"row.psx";"col.psx";"rep";"block";"geno_id";"rowNum";"colNum";"plotId";"unit";"old_unit";"new_unit"
"229";1;4;3;7;"Exp60_95_IS12804";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"230";2;4;3;7;"Exp60_6_IS1127";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"231";1;5;3;7;"Exp60_124_IS15526";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"232";2;5;3;7;"Exp60_293_IS32569";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"233";1;6;3;7;"Exp60_304_SSM1046";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"234";2;6;3;7;"Exp60_136_IS18829";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"235";1;7;3;7;"Exp60_215_IS23948";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"236";2;7;3;7;"Exp60_236_IS26110";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"237";1;8;3;8;"Exp60_165_IS20710";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"238";2;8;3;8;"Exp60_298_IS33261";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"239";1;9;3;8;"Exp60_218_IS24072";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"240";2;9;3;8;"Exp60_64_IS7889";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"241";1;10;4;2;"Exp60_230_IS25442";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"242";2;10;4;2;"Exp60_167_IS20724";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"243";1;11;4;3;"Exp60_270_IS30436";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"244";2;11;4;3;"Exp60_74_IS9527";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"245";1;12;4;3;"Exp60_303_IRAT204";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"246";2;12;4;3;"Exp60_63_IS7861";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"247";1;1;4;1;"Exp60_77_IS9713";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"248";2;1;4;1;"Exp60_275_IS30619";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"249";1;2;4;1;"Exp60_277_IS30898";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"250";2;2;4;1;"Exp60_130_IS16396";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"251";1;3;4;1;"Exp60_310_SSM1284";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"252";2;3;4;1;"Exp60_135_IS18800";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"253";1;4;4;1;"Exp60_150_IS19466";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"254";2;4;4;1;"Exp60_140_IS18876";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"255";1;5;4;1;"Exp60_1_IS13";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"256";2;5;4;1;"Exp60_96_IS12931";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"257";1;6;4;2;"Exp60_258_IS29606";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"258";2;6;4;2;"Exp60_211_IS23666";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"259";1;7;4;2;"Exp60_123_IS15478";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"260";2;7;4;2;"Exp60_246_IS27791";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"261";1;8;4;2;"Exp60_301_IS36633";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"262";2;8;4;2;"Exp60_256_IS29496";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"263";1;9;4;2;"Exp60_182_IS21849";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"264";2;9;4;2;"Exp60_33_IS3672";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"265";1;10;4;5;"Exp60_165_IS20710";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"266";2;10;4;5;"Exp60_305_SSM1049";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"267";1;11;4;5;"Exp60_91_IS11758";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"268";2;11;4;5;"Exp60_104_IS14216";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
"269";1;12;4;5;"Exp60_25_IS2902";12;3;"c3r12";"B-1:12:1";"B-1-12";"27:12:1"
"270";2;12;4;5;"Exp60_103_IS14206";12;4;"c4r12";"B-1001:12:1";"B-2-12";"27:12:2"
"271";1;1;4;3;"Exp60_173_IS20782";1;3;"c3r1";"B-1:1:1";"B-1-1";"27:1:1"
"272";2;1;4;3;"Exp60_141_IS18879";1;4;"c4r1";"B-1001:1:1";"B-2-1";"27:1:2"
"273";1;2;4;3;"Exp60_41_IS4035";2;3;"c3r2";"B-1:2:1";"B-1-2";"27:2:1"
"274";2;2;4;3;"Exp60_304_SSM1046";2;4;"c4r2";"B-1001:2:1";"B-2-2";"27:2:2"
"275";1;3;4;3;"Exp60_316_SSM249";3;3;"c3r3";"B-1:3:1";"B-1-3";"27:3:1"
"276";2;3;4;3;"Exp60_48_IS5106";3;4;"c4r3";"B-1001:3:1";"B-2-3";"27:3:2"
"277";1;4;4;4;"Exp60_168_IS20727";4;3;"c3r4";"B-1:4:1";"B-1-4";"27:4:1"
"278";2;4;4;4;"Exp60_212_IS23669";4;4;"c4r4";"B-1001:4:1";"B-2-4";"27:4:2"
"279";1;5;4;4;"Exp60_170_IS20749";5;3;"c3r5";"B-1:5:1";"B-1-5";"27:5:1"
"280";2;5;4;4;"Exp60_51_IS5867";5;4;"c4r5";"B-1001:5:1";"B-2-5";"27:5:2"
"281";1;6;4;4;"Exp60_44_IS4726";6;3;"c3r6";"B-1:6:1";"B-1-6";"27:6:1"
"282";2;6;4;4;"Exp60_188_IS22282";6;4;"c4r6";"B-1001:6:1";"B-2-6";"27:6:2"
"283";1;7;4;4;"Exp60_187_IS22239";7;3;"c3r7";"B-1:7:1";"B-1-7";"27:7:1"
"284";2;7;4;4;"Exp60_166_IS20713";7;4;"c4r7";"B-1001:7:1";"B-2-7";"27:7:2"
"285";1;8;4;4;"Exp60_15_IS2416";8;3;"c3r8";"B-1:8:1";"B-1-8";"27:8:1"
"286";2;8;4;4;"Exp60_76_IS9597";8;4;"c4r8";"B-1001:8:1";"B-2-8";"27:8:2"
"287";1;9;4;5;"Exp60_156_IS20097";9;3;"c3r9";"B-1:9:1";"B-1-9";"27:9:1"
"288";2;9;4;5;"Exp60_79_IS9883";9;4;"c4r9";"B-1001:9:1";"B-2-9";"27:9:2"
"289";1;10;4;7;"Exp60_154_IS20016";10;3;"c3r10";"B-1:10:1";"B-1-10";"27:10:1"
"290";2;10;4;7;"Exp60_28_IS3147";10;4;"c4r10";"B-1001:10:1";"B-2-10";"27:10:2"
"291";1;11;4;7;"Exp60_164_IS20709";11;3;"c3r11";"B-1:11:1";"B-1-11";"27:11:1"
"292";2;11;4;7;"Exp60_298_IS33261";11;4;"c4r11";"B-1001:11:1";"B-2-11";"27:11:2"
