unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;;;;
132:09:01;132:09:01;EXp60;WW_R1;Sorghum;Exp60_116_IS14571;Exp60_116_IS14571;1;;;;
132:09:02;132:09:02;EXp60;WW_R1;Sorghum;Exp60_93_IS12447;Exp60_93_IS12447;1;;;;
133:10:01;133:10:01;EXp60;WW_R1;Sorghum;Exp60_149_IS19455;Exp60_149_IS19455;1;;;;
133:10:02;133:10:02;EXp60;WW_R1;Sorghum;Exp60_309_SSM1267;Exp60_309_SSM1267;1;;;;
133:11:01;133:11:01;EXp60;WW_R1;Sorghum;Exp60_25_IS2902;Exp60_25_IS2902;1;;;;
133:11:02;133:11:02;EXp60;WW_R1;Sorghum;Exp60_196_IS22609;Exp60_196_IS22609;1;;;;
133:12:01;133:12:01;EXp60;WW_R1;Sorghum;Exp60_214_IS23903;Exp60_214_IS23903;1;;;;
133:12:02;133:12:02;EXp60;WW_R1;Sorghum;Exp60_242_IS27390;Exp60_242_IS27390;1;;;;
133:01:01;133:01:01;EXp60;WW_R1;Sorghum;Exp60_199_IS22986;Exp60_199_IS22986;1;;;;
133:01:02;133:01:02;EXp60;WW_R1;Sorghum;Exp60_91_IS11758;Exp60_91_IS11758;1;;;;
133:02:01;133:02:01;EXp60;WW_R1;Sorghum;Exp60_160_IS20665;Exp60_160_IS20665;1;;;;
133:02:02;133:02:02;EXp60;WW_R1;Sorghum;Exp60_247_IS27855;Exp60_247_IS27855;1;;;;
133:03:01;133:03:01;EXp60;WW_R1;Sorghum;Exp60_275_IS30619;Exp60_275_IS30619;1;;;;
133:03:02;133:03:02;EXp60;WW_R1;Sorghum;Exp60_226_IS24953;Exp60_226_IS24953;1;;;;
133:04:01;133:04:01;EXp60;WW_R1;Sorghum;Exp60_299_IS33353;Exp60_299_IS33353;1;;;;
133:04:02;133:04:02;EXp60;WW_R1;Sorghum;Exp60_169_IS20743;Exp60_169_IS20743;1;;;;
133:05:01;133:05:01;EXp60;WW_R1;Sorghum;Exp60_262_IS29872;Exp60_262_IS29872;1;;;;
133:05:02;133:05:02;EXp60;WW_R1;Sorghum;Exp60_206_IS23178;Exp60_206_IS23178;1;;;;
133:06:01;133:06:01;EXp60;WW_R1;Sorghum;Exp60_70_IS8882;Exp60_70_IS8882;1;;;;
133:06:02;133:06:02;EXp60;WW_R1;Sorghum;Exp60_107_IS14298;Exp60_107_IS14298;1;;;;
133:07:01;133:07:01;EXp60;WW_R1;Sorghum;Exp60_110_IS14351;Exp60_110_IS14351;1;;;;
133:07:02;133:07:02;EXp60;WW_R1;Sorghum;Exp60_13_IS2367;Exp60_13_IS2367;1;;;;
133:08:01;133:08:01;EXp60;WW_R1;Sorghum;Exp60_161_IS20681;Exp60_161_IS20681;1;;;;
133:08:02;133:08:02;EXp60;WW_R1;Sorghum;Exp60_264_IS29911;Exp60_264_IS29911;1;;;;
133:09:01;133:09:01;EXp60;WW_R1;Sorghum;Exp60_45_IS4776;Exp60_45_IS4776;1;;;;
133:09:02;133:09:02;EXp60;WW_R1;Sorghum;Exp60_61_Phule Chitra;Exp60_61_Phule Chitra;1;;;;
134:10:01;134:10:01;EXp60;WW_R2;Sorghum;Exp60_135_IS18800;Exp60_135_IS18800;2;;;;
134:10:02;134:10:02;EXp60;WW_R2;Sorghum;Exp60_178_IS21401;Exp60_178_IS21401;2;;;;
134:11:01;134:11:01;EXp60;WW_R2;Sorghum;Exp60_306_SSM1057;Exp60_306_SSM1057;2;;;;
134:11:02;134:11:02;EXp60;WW_R2;Sorghum;Exp60_232_IS25702;Exp60_232_IS25702;2;;;;
134:12:01;134:12:01;EXp60;WW_R2;Sorghum;Exp60_201_IS23048;Exp60_201_IS23048;2;;;;
