Date;TS;Temp;RH;VPD;SR;WS;;
23/09/2023;20:45:00;27.31;89%;;0;0;;
23/09/2023;21:00:00;27.09;89.30%;;0;0;;
23/09/2023;21:15:00;26.93;89.50%;;0;0;;
23/09/2023;21:30:00;26.91;91.50%;;0;0;;
23/09/2023;21:45:00;26.72;90.90%;;0;0;;
23/09/2023;22:00:00;26.52;91.40%;;0;0;;
23/09/2023;22:15:00;26.43;91.80%;;0;0;;
23/09/2023;22:30:00;26.44;92.40%;;0;0;;
23/09/2023;22:45:00;26.31;92.60%;;0;0;;
23/09/2023;23:00:00;26.27;93.20%;;0;0;;
23/09/2023;23:15:00;26.16;93.50%;;0;0;;
23/09/2023;23:30:00;26.09;93.90%;;0;0;;
23/09/2023;23:45:00;26.03;93.80%;;0;0;;
24/09/2023;00:00:00;25.87;94.30%;;0;0;;
24/09/2023;00:15:00;25.85;94.60%;;0;0;;
24/09/2023;00:30:00;25.79;94.40%;;0;0;;
24/09/2023;00:45:00;25.72;94.90%;;0;0;;
24/09/2023;01:00:00;25.55;95.20%;;0;0;;
24/09/2023;01:15:00;25.52;95.20%;;0;0;;
24/09/2023;01:30:00;25.45;95.20%;;0;0;;
24/09/2023;01:45:00;25.31;95.10%;;0;0;;
24/09/2023;02:00:00;25.29;95%;;0;0;;
24/09/2023;02:15:00;25.29;95.30%;;0;0;;
24/09/2023;02:30:00;25.37;96.70%;;0;0;;
24/09/2023;02:45:00;25.41;96.40%;;0;0;;
24/09/2023;03:00:00;25.35;96.10%;;0;0;;
24/09/2023;03:15:00;25.26;96%;;0;0;;
24/09/2023;03:30:00;25.22;96.30%;;0;0;;
24/09/2023;03:45:00;25.24;96.80%;;0;0;;
24/09/2023;04:00:00;25.26;97.10%;;0;0;;
24/09/2023;04:15:00;25.26;97.10%;;0;0;;
24/09/2023;04:30:00;25.29;97.20%;;0;0;;
24/09/2023;04:45:00;25.12;97.10%;;0;0;;
24/09/2023;05:00:00;25.06;97.30%;;0;0;;
24/09/2023;05:15:00;25.06;97.90%;;0;0;;
24/09/2023;05:30:00;25.16;97.80%;;0;0;;
24/09/2023;05:45:00;25.17;97.90%;;0;0;;
24/09/2023;06:00:00;25.11;97.90%;;0;0;;
24/09/2023;06:15:00;24.92;98%;;0;0;;
24/09/2023;06:30:00;24.83;98.40%;;0;0;;
24/09/2023;06:45:00;24.79;98.50%;;0;0;;
24/09/2023;07:00:00;24.71;98.70%;;0;0;;
24/09/2023;07:15:00;24.65;99%;;0;0.292;;
24/09/2023;07:30:00;24.27;97.80%;;0;0.002;;
24/09/2023;07:45:00;24.2;97.60%;;6.705;0;;
24/09/2023;08:00:00;24.23;97.50%;;20;0.026;;
24/09/2023;08:15:00;24.32;97.40%;;26.82;0;;
24/09/2023;08:30:00;24.5;97.50%;;33.53;0;;
24/09/2023;08:45:00;24.7;97.50%;;40.23;0;;
24/09/2023;09:00:00;24.88;97.20%;;40.23;0;;
24/09/2023;09:15:00;25.15;97%;;60.35;0;;
24/09/2023;09:30:00;25.42;96.20%;;93.9;0;;
24/09/2023;09:45:00;25.83;94.90%;;79.68;0;;
24/09/2023;10:00:00;26.18;94.10%;;49.17;0.042;;
24/09/2023;10:15:00;26.18;92.40%;;40.23;0;;
24/09/2023;10:30:00;26.34;91.90%;;60.34;0;;
24/09/2023;10:45:00;26.34;91.20%;;53.63;0;;
24/09/2023;11:00:00;26.49;90.60%;;97.6;0;;
24/09/2023;11:15:00;26.72;89.70%;;80.4;0.296;;
24/09/2023;11:30:00;27.07;89.60%;;165.9;1.334;;
24/09/2023;11:45:00;27.54;88.30%;;167.6;1.057;;
24/09/2023;12:00:00;28.16;87.80%;;208.4;0.621;;
24/09/2023;12:15:00;29.23;83.80%;;135.8;2.584;;
24/09/2023;12:30:00;28.87;82.20%;;134;1.566;;
24/09/2023;12:45:00;28.9;81.30%;;137.7;0.877;;
24/09/2023;13:00:00;29.38;81.70%;;235.5;1.274;;
24/09/2023;13:15:00;29.97;79.35%;;275.9;0.621;;
24/09/2023;13:30:00;30.71;77.55%;;197.2;0.869;;
24/09/2023;13:45:00;30.77;77.39%;;195.5;0.724;;
24/09/2023;14:00:00;30.54;75%;;101.4;1.934;;
24/09/2023;14:15:00;29.89;77.27%;;108.1;0.389;;
24/09/2023;14:30:00;29.76;78.16%;;113.9;0;;
24/09/2023;14:45:00;29.85;79.03%;;170.2;1.315;;
24/09/2023;15:00:00;30.28;76.70%;;107.2;1.993;;
