;unit;old_unit;Treatment;Genotype;G..Alias;Replicates;maxET;slope.maxET-6;slope.07-maxET;slope.00-07;slope.19-23:45;curvmaxET;total.auc;auc.10-15;sd.10-15;auc.prop.10-15;auc.07-19;sd.07-19;auc.prop.07-19;auc.night;cos.sim.index
377;158:06:01;158:06:01;WW_R1;Exp60_208_IS23574;Exp60_208_IS23574;1;19.29078103;1.42E-05;1.81E-05;-4.62E-06;-1.13E-05;4.715796154;0.024291741;-0.000668372;2.00E-05;-0.027514371;0.006811874;0.000268709;0.280419364;0.017479866;0.124224646
378;158:06:02;158:06:02;WW_R1;Exp60_153_IS19953;Exp60_153_IS19953;1;9.128225091;1.10E-05;0;-5.40E-05;9.13E-07;5.854943619;0.028300833;-0.000375601;3.69E-05;-0.013271731;-0.001005839;6.67E-05;-0.035540951;0.029306671;-0.006187682
379;158:07:01;158:07:01;WW_R1;Exp60_315_SSM215;Exp60_315_SSM215;1;4.954880802;0.000635613;0.000297743;0.003751414;0.00013288;-3.465428628;2.776398659;0.480926206;0.021639053;0.173219434;1.434919003;0.036517241;0.516827437;1.341479656;0.179387231
380;158:07:02;158:07:02;WW_R1;Exp60_129_IS16186;Exp60_129_IS16186;1;3.759513643;0;0;-2.09E-05;-6.95E-09;6.035842874;0.011483284;5.46E-05;1.02E-05;0.004755855;0.000550044;1.99E-05;0.047899507;0.010933241;0.027102015
381;158:08:01;158:08:01;WW_R1;Exp60_245_IS27599;Exp60_245_IS27599;1;3261.901895;0;0;-0.003135928;-6.52E-05;6.279738991;0.819326384;-0.004330656;0.000527397;-0.005285629;0.00819808;0.001812383;0.010005878;0.811128304;0.012656033
382;158:08:02;158:08:02;WW_R1;Exp60_120_IS15428;Exp60_120_IS15428;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
383;158:09:01;158:09:01;WW_R1;Exp60_144_IS19026;Exp60_144_IS19026;1;194.2155169;3.54E-06;1.25E-06;3.92E-07;4.76E-06;7.248748374;0.002348449;8.42E-06;4.07E-07;0.003584365;0.000138479;5.49E-06;0.058966173;0.00220997;0.013354365
384;158:09:02;158:09:02;WW_R1;Exp60_222_IS24713;Exp60_222_IS24713;1;15.07951413;9.37E-06;6.85E-06;5.46E-06;2.35E-06;5.247102127;0.013626273;-0.000170562;6.28E-06;-0.012517164;0.002614228;9.17E-05;0.19185204;0.011012044;0.087508737
385;159:10:01;159:10:01;WW_R1;Exp60_85_IS10897;Exp60_85_IS10897;1;2.804668935;5.60E-06;1.14E-05;-1.14E-06;1.79E-05;6.776310729;0.017274309;-0.000345526;1.02E-05;-0.020002333;0.002273025;0.000100225;0.13158412;0.015001285;0.039298076
386;159:10:02;159:10:02;WW_R1;Exp60_147_IS19132;Exp60_147_IS19132;1;10.47772513;4.42E-05;1.28E-05;-2.24E-05;5.81E-05;7.905123288;0.013946542;-0.000108356;3.10E-06;-0.007769367;-0.001441338;5.14E-05;-0.103347342;0.01538788;-0.046977449
387;159:11:01;159:11:01;WW_R1;Exp60_192_IS22325;Exp60_192_IS22325;1;14.93802293;0;0;-4.75E-05;2.20E-05;8.487322676;0.014715078;-0.000139977;5.52E-06;-0.009512517;-0.000151979;3.13E-05;-0.010328126;0.014867058;-0.009687652
388;159:11:02;159:11:02;WW_R1;Exp60_258_IS29606;Exp60_258_IS29606;1;16.29911902;1.69E-05;1.67E-05;-2.44E-06;-7.64E-06;4.556272511;0.022194881;-0.000626088;2.18E-05;-0.028208668;0.00610002;0.000244806;0.274839046;0.016094861;0.109748495
389;159:12:01;159:12:01;WW_R1;Exp60_218_IS24072;Exp60_218_IS24072;1;26.69433285;0;0;-6.18E-05;-1.82E-05;3.244322002;0.009867958;-4.71E-06;4.88E-05;-0.000476891;-0.002275706;9.43E-05;-0.230615739;0.012143664;0.002039589
390;159:12:02;159:12:02;WW_R1;Exp60_320_SSM379;Exp60_320_SSM379;1;51.47437901;8.96E-05;0;-2.00E-05;2.67E-05;6.817859988;0.091475991;0.006714688;0.000235093;0.073403824;0.023526226;0.000311769;0.257184709;0.067949765;0.24620151
391;159:01:01;159:01:01;WW_R1;Exp60_140_IS18876;Exp60_140_IS18876;1;2.656879866;0;0;-1.64E-05;9.23E-07;6.611845336;0.010270151;3.61E-05;6.76E-06;0.003511439;0.000723599;1.95E-05;0.070456487;0.009546552;0.032675497
392;159:01:02;159:01:02;WW_R1;Exp60_92_IS12169;Exp60_92_IS12169;1;11.11180921;0;0;-0.000176332;-4.53E-06;4.907748713;-0.109614014;-0.027755024;0.00113858;0.253206897;-0.072154879;0.001781275;0.658263269;-0.037459135;-0.232283978
393;159:02:01;159:02:01;WW_R1;Exp60_263_IS29876;Exp60_263_IS29876;1;1.230311806;0;0;-0.461156322;-1.618387351;-1.903819964;-5375.784938;-1067.074881;6.688910461;0.198496572;-2721.155906;15.92642057;0.506187643;-2654.629032;-0.530704338
394;159:02:02;159:02:02;WW_R1;Exp60_184_IS21991;Exp60_184_IS21991;1;32.7860588;2.39E-06;1.56E-06;2.58E-06;4.23E-06;3.960788928;0.001878848;-3.36E-05;6.94E-07;-0.017858721;0.000185167;8.96E-06;0.098553407;0.001693681;0.015506935
