"","Date","TS","Temp","RH","VPD","SR","WS"
"423",2023-10-14,"09:30:00",27.38,81,NA,116.2,0
"424",2023-10-14,"09:45:00",28.27,76,NA,134.1,0
"425",2023-10-14,"10:00:00",28.91,73,NA,165.1,0
"426",2023-10-14,"10:15:00",29.9,67,NA,184.8,0
"427",2023-10-14,"10:30:00",30.69,63,NA,219.4,0
"428",2023-10-14,"10:45:00",31.53,59,NA,224.3,0
"429",2023-10-14,"11:00:00",31.84,57,NA,246.3,0
"430",2023-10-14,"11:15:00",32.48,54,NA,264.1,0
"431",2023-10-14,"11:30:00",33.24,53,NA,265.5,0
"432",2023-10-14,"11:45:00",33.71,51,NA,286.8,0.041
"433",2023-10-14,"12:00:00",34.34,48,NA,287.1,0
"434",2023-10-14,"12:15:00",34.97,45,NA,297.5,0.418
"435",2023-10-14,"12:30:00",35.67,44,NA,326.6,0.077
"436",2023-10-14,"12:45:00",36.17,43,NA,314.1,0.212
"437",2023-10-14,"13:00:00",36.36,41,NA,317.3,0.005
"438",2023-10-14,"13:15:00",36.18,41,NA,304.1,0.452
"439",2023-10-14,"13:30:00",36.09,40,NA,131.3,0.201
"440",2023-10-14,"13:45:00",36.23,38,NA,317.3,0.392
"441",2023-10-14,"14:00:00",36.3,34,NA,101.7,0.71
"442",2023-10-14,"14:15:00",34.92,37,NA,133.1,0.581
