unit;old_unit;Experiment;Treatment;Species;Genotype;G..Alias;Replicates;Genotype_Trt;;;;10/10/2023 09:56;10/10/2023 14:34;11/10/2023 12:28;11/10/2023 14:28;12/10/2023 10:32;12/10/2023 14:38;13/10/2023 10:02;13/10/2023 14:33;17/10/2023 15:13;18/10/2023 08:30;18/10/2023 14:48;19/10/2023 07:55;19/10/2023 14:38;20/10/2023 10:51;21/10/2023 08:13;21/10/2023 15:21
28:08:01;28:08:01;Exp60;WW_R1;Sorghum;Exp60_319_SSM29;Exp60_319_SSM29;1;Exp60_319_SSM29_WW_R1;10/10/2023 08:40;96868.5;;;;;;;;;;;;;;;;;
28:08:02;28:08:02;Exp60;WW_R1;Sorghum;Exp60_135_IS18800;Exp60_135_IS18800;1;Exp60_135_IS18800_WW_R1;10/10/2023 08:40;87569.7;;;;;;;;;;;;;;;;;
28:09:01;28:09:01;Exp60;WW_R1;Sorghum;Exp60_20_IS2807;Exp60_20_IS2807;1;Exp60_20_IS2807_WW_R1;10/10/2023 08:40;93411.6;;;;;;;;;;;;;;;;;
28:09:02;28:09:02;Exp60;WW_R1;Sorghum;Exp60_173_IS20782;Exp60_173_IS20782;1;Exp60_173_IS20782_WW_R1;10/10/2023 08:40;58823.9;;;;;;;;;;;;;;;;;
28:10:01;28:10:01;Exp60;WW_R1;Sorghum;Exp60_114_IS14478;Exp60_114_IS14478;1;Exp60_114_IS14478_WW_R1;10/10/2023 08:40;97812.8;;;;;;;;;;;;;;;;;
28:10:02;28:10:02;Exp60;WW_R1;Sorghum;Exp60_318_SSM276;Exp60_318_SSM276;1;Exp60_318_SSM276_WW_R1;10/10/2023 08:40;87265.3;;;;;;;;;;;;;;;;;
28:11:01;28:11:01;Exp60;WW_R1;Sorghum;Exp60_188_IS22282;Exp60_188_IS22282;1;Exp60_188_IS22282_WW_R1;10/10/2023 08:40;102149;;;;;;;;;;;;;;;;;
28:11:02;28:11:02;Exp60;WW_R1;Sorghum;Exp60_259_IS29638;Exp60_259_IS29638;1;Exp60_259_IS29638_WW_R1;10/10/2023 08:40;63654.7;;;;;;;;;;;;;;;;;
28:12:01;28:12:01;Exp60;WW_R1;Sorghum;Exp60_279_IS31179;Exp60_279_IS31179;1;Exp60_279_IS31179_WW_R1;10/10/2023 08:40;99169.2;;;;;;;;;;;;;;;;;
28:12:02;28:12:02;Exp60;WW_R1;Sorghum;Exp60_127_IS16125;Exp60_127_IS16125;1;Exp60_127_IS16125_WW_R1;10/10/2023 08:40;77830.9;;;;;;;;;;;;;;;;;
30:01:01;30:01:01;Exp60;WW_R1;Sorghum;Exp60_257_IS29569;Exp60_257_IS29569;1;Exp60_257_IS29569_WW_R1;10/10/2023 08:41;87013.8;;;;;;;;;;;;;;;;;
30:01:02;30:01:02;Exp60;WW_R1;Sorghum;Exp60_217_IS23992;Exp60_217_IS23992;1;Exp60_217_IS23992_WW_R1;10/10/2023 08:41;68274.9;;;;;;;;;;;;;;;;;
30:02:01;30:02:01;Exp60;WW_R1;Sorghum;Exp60_207_IS23254;Exp60_207_IS23254;1;Exp60_207_IS23254_WW_R1;10/10/2023 08:41;69447.5;;;;;;;;;;;;;;;;;
